code	id	name	name_np	parent
2779	2779	Rainas Municipality	राईनास नगरपालिका	2044
2780	2780	Sundarbazar Municipality	सुन्दरबजार नगरपालिका	2044
2793	2793	Bhanu Municipality	भानु नगरपालिका	2045
2856	2856	Galayanga Municipality	गल्याङ नगरपालिका	2050
2874	2874	Chapakot Municipality	चापाकोट नगरपालिका	2050
2877	2877	Putalibazzar Municipality	पुतलीबजार नगरपालिका	2050
2881	2881	Virakot Municipality	भिरकोट नगरपालिका	2050
2963	2963	Waling Municipality	बालिङ नगरपालिका	2050
2072	2072	Kalikot	कालिकोट	2006
2073	2073	Jajarkot	जाजरकोट	2006
2074	2074	Dailekh	दैलेख	2006
3021	3021	Carkheli  Rural Municipality	च	2071
2008	2008	Taplejung	ताप्लेजुङ्ग	2001
2009	2009	Panchthar	पाँचथर	2001
2010	2010	Ilam	इलाम	2001
2011	2011	Sankhuwasabha	संखुवासभा	2001
2012	2012	Terhathum	तेह्रथुम	2001
2013	2013	Dhankuta	धनकुटा	2001
2014	2014	Bhojpur	भोजपुर	2001
2015	2015	Khotang	खोटाङ	2001
2016	2016	Solukhumbu	सोलुखुम्बु	2001
2017	2017	Okhaldhunga	ओखलढुङ्गा	2001
2018	2018	Udayapur	उदयपुर	2001
2019	2019	Jhapa	झापा	2001
2020	2020	Morang	मोरङ	2001
2021	2021	Sunsari	सुनसरी	2001
2022	2022	Saptari	सप्तरी	2002
2023	2023	Siraha	सिराहा	2002
2024	2024	Dhanusha	धनुषा	2002
2025	2025	Mahottari	महोत्तरी	2002
2026	2026	Sarlahi	सर्लाही	2002
2027	2027	Rautahat	रौतहट	2002
2028	2028	Bara	बारा	2002
2029	2029	Parsa	पर्सा	2002
2030	2030	Dolakha	दोलखा	2003
2031	2031	Ramechhap	रामेछाप	2003
2032	2032	Sindhuli	सिन्धुली	2003
2033	2033	Kavrepalanchok	काभ्रेपलाञ्चोक	2003
2034	2034	Sindhupalchok	सिन्धुपाल्चोक	2003
2035	2035	Rasuwa	रसुवा	2003
2036	2036	Nuwakot	नुवाकोट	2003
2037	2037	Dhading	धादिङ	2003
2038	2038	Chitwan	चितवन	2003
2039	2039	Makawanpur	मकवानपुर	2003
2040	2040	Bhaktapur	भक्तपुर	2003
2041	2041	Lalitpur	ललितपुर	2003
2043	2043	Gorkha	गोरखा	2004
2044	2044	Lamjung	लमजुङ	2004
2045	2045	Tanahun	तनहुँ	2004
2046	2046	Kaski	कास्की	2004
2047	2047	Manang	मनाङ	2004
2048	2048	Mustang	मुस्ताङ	2004
2049	2049	Parbat	पर्वत	2004
2050	2050	Syangja	स्याङजा	2004
2051	2051	Myagdi	म्याग्दी	2004
2052	2052	Baglung	बाग्लुङ	2004
2053	2053	Nawalparasi (Eastern Part from Bardaghat Susta)	नवलपरासी (बर्दघाट सुस्ता पूर्व)	2004
2054	2054	Nawalparasi (Western Part from Bardaghat Susta)	नवलपरासी (बर्दघाट सुस्ता पश्चिम)	2005
2055	2055	Rupandehi	रूपन्देही	2005
2056	2056	Kapilvastu	कपिलबस्तु	2005
2057	2057	Palpa	पाल्पा	2005
2060	2060	Rukum (Eastern Part)	रूकुम (पूर्वी भाग)	2005
2061	2061	Rolpa	रोल्पा	2005
2062	2062	Pyuthan	प्यूठान	2005
2063	2063	Dang	दाङ	2005
2064	2064	Banke	बाँके	2005
2065	2065	Bardiya	बर्दिया	2005
2066	2066	Rukum (Western Part)	रूकुम (पश्चिम भाग)	2006
2067	2067	Salyan	सल्यान	2006
2068	2068	Dolpa	डोल्पा	2006
2069	2069	Jumla	जुम्ला	2006
2070	2070	Mugu	मुगु	2006
2075	2075	Surkhet	सुर्खेत	2006
2076	2076	Bajura	बाजुरा	2007
2077	2077	Bajhang	बझाङ	2007
2078	2078	Doti	डोटी	2007
2079	2079	Achham	अछाम	2007
2080	2080	Darchula	दार्चुला	2007
2081	2081	Baitadi	बैतडी	2007
2082	2082	Dadeldhura	डडेल्धुरा	2007
2083	2083	Kanchanpur	कञ्चनपुर	2007
2084	2084	Kailali	कैलाली	2007
2087	2087	Sidingwa  Rural Municipaltiy	सिदिङवा गाउँपालिका	2008
2088	2088	Phaktanglung Rural Municipaltiy	फक्ताङलुङ गाउँपालिका	2008
2042	2042	Kathmandu	काठमाडौं	2003
2089	2089	Mikwakhola Rural Municipaltiy	मिक्वाखोला गाउँपालिका	2008
2090	2090	Meringden Rural Municipaltiy	मेिरङदेन गाउँपालिका	2008
2094	2094	Shirijagha Rural Muncipality	सिरीजङा गाउँपालीका	2008
2095	2095	Phalelung Rural Municipality	फालेलुङ गाउँपालिका	2009
2096	2096	Hilihang Rural Municipality	हिलिहाङ गाउँपालिका	2009
2098	2098	Kummayak Rural Municipality	कुम्मायक गाउँपालिका	2009
2099	2099	Miklagung Rural Municipality	मिक्लाजुङ गाउँपालिका	2009
2101	2101	Yangworak Rural Municipality	याङवरक गाउँपालिका	2009
2105	2105	Phakpohkthum Rural Municipaltiy	फाकफोकथुम गाउँपालिका	2010
2107	2107	Chulachuli Rural Municipaltiy	चुलाचुली गाउँपालिका	2010
2108	2108	Maeejogmai  Rural Municipaltiy	माईजोगमाई गाउँपालिका	2010
2109	2109	Mangsebung Rural Municipaltiy	माङसेवुङ गाउँपालिका	2010
2110	2110	Rong Rural Municipaltiy	रोङ गाउँपालिका	2010
2114	2114	Damka Muncipality	दमक नगरपालीका	2019
2124	2124	Buddhashanti Rural Municipality	बुद्धशान्ती गाउँपालिका	2019
2125	2125	Haldibari Rural Municipality	हल्दीवारी गाउँपालिका	2019
2093	2093	Phidim Municipality	फिदिम नगरपालिका	2009
2136	2136	Budhiganga  Rural Municipaltiy	बुढीगँगा गाउँपालिका	2020
2137	2137	Dhanpalthan Rural Municipaity	धनपालथान गाउँपालिका	2020
2140	2140	Jahada Rural Municipaltiy	जहदा गाउँपालिका	2020
2092	2092	Pathivara Yankwarak Rural Municipaltiy	पाथीभरा याङवरक गाउँपालिका	2008
2086	2086	Aathrai Tribeni Rural Municipaltiy	अठराई त्रिवेणी गाउँपालीका	2008
2091	2091	Maiwakhola Rural Minicipality	मैवाखोला गाउँपालिका	2008
2097	2097	Falgunanda Rural Minicipality	फाल्गुनन्द गाउँपालिका	2009
2100	2100	Tumbewa Rural Minicipality	तुम्बेबा गाँउपालिका	2009
2111	2111	Sandakpur Rural Minicipality	सन्दकपुर गाउँपालिका	2010
2116	2116	Arjundhara Municipality	अजुर्नधारा नगरपालीका	2019
2119	2119	Kamal Rural Municipality	कमल गाउँपालिका	2019
2121	2121	Gauri Gunj Rural Municipality	गौरीगज गाउँपालिका	2019
2122	2122	Baradashi Rural Municipality	बाह्रदशी गाउँपालिका	2019
2123	2123	Jhapa Rural Municipality	झापा गाउँपालिका	2019
2141	2141	kanepokhari Rural Municipaltiy	कानेपोखरी गाउँपालिका	2020
2146	2146	Katahari Rural Municipaltiy	कटहरी गाउँपालीका	2020
2147	2147	kerabari  Rural Municipaltiy	केराबारी गाउँपालिका	2020
2148	2148	Miklagunj Rural Municipaltiy	मिक्लाजुङ गाउँपालिका	2020
2154	2154	Banglachuli Rural Municipaltiy	बंगलाचुली गाउँपालिका	2063
2157	2157	Dangisaran Rural Municipaltiy	दंगीशरण गाउँपालिका	2063
2158	2158	Debanganja Rural Municipality	देवानगन्ज गाउँपालिका	2021
2160	2160	Gadhawa Rural Municipaltiy	गढवा गाउँपालिका	2063
2161	2161	Rajpur Rural Municipaltiy	राजपुर गाउँपालिका	2063
2162	2162	Gadhi Rural Municipaltiy	गढी गाउँपालिका	2021
2163	2163	Rapti Rural Municipaltiy	राप्ती गाउँपालिका	2063
2165	2165	Barju Rural Municipaltiy	बर्जु गाउँपालिका	2021
2166	2166	Shantinagar Rural Municipaltiy	शान्तिनगर गाउँपालिका	2063
2167	2167	Babai Rural Municipaltiy	बबई गाउँपालिका	2063
2169	2169	Dhankuta Municipality	धनकुटा नगरपालीका	2013
2173	2173	Narainapur  Rural Municipality	नरैनापुर गाउँपालिका	2064
2174	2174	Mahalaxmi Municipality	महालक्ष्मी नगरपालीका	2013
2175	2175	Raptisonari  Rural Municipality	राप्तीसोनारी गाउँपालिका	2064
2177	2177	Baijanath  Rural Municipality	बैजनाथ गाउँपालिका	2064
2178	2178	Saguragadhi Rural Municipality	सागुँरीगढी गाउँपालिका	2013
2179	2179	Laligurasa  Municipaltiy	लालीगुरास नगरपालीका	2012
2180	2180	Khajura  Rural Municipality	खजुरा गाउँपालिका	2064
2181	2181	Duduwa  Rural Municipality	डुडुवा गाउँपालिका	2064
2182	2182	Aatharai Rural Municipaltiy	आठराई गाउँपालिका	2012
2184	2184	Janaki  Rural Municipality	जानकी गाउँपालिका	2064
2185	2185	Chathara Rural Municipaltiy	छथर गाउँपालिका	2012
2132	2132	Ratuwamai Municipality	रतुवामाई नगरपालिका	2020
2186	2186	Chhathar Jorpati Rural Municipality	छथर जोरपाटी गाउँपालिका	2013
2187	2187	Fedapa Rural Municipaltiy	फेदाप गाउँपालिका	2012
2188	2188	Chaubise Rural Municipality	चौबिसे गाउँपालिका	2013
2190	2190	Chainpur Municipality	चैनपुर नगरपालीका	2011
2192	2192	Dharma Devi Municipality	धर्म देवि नगरपालीका	2011
2194	2194	Khadbariu  Municipaltiy	खादँबारी नगरपालीका	2011
2195	2195	Madi  Municipaltiy	मादी नगरपालीका	2011
2196	2196	Pachkhapan  Municipality	पाचँखपन नगरपालीका	2011
2197	2197	Bhotekhola Rural Municipaltiy	भोटेखोला गाउँपालिका	2011
2198	2198	Chichila Rural Municipaltiy	चिचिला गाउँपालिका	2011
2200	2200	Makalu Rural Municipality	मकालु गाउँपालिका	2011
2201	2201	Shabhapokhari Rural Municipality	सभापोखरी गाउँपालिका	2011
2203	2203	Silichong Rural Municipality	सिलीचोङ गाउँपालिका	2011
2204	2204	Arun Rural Municipaltiy	अरूण गाउँपालिका	2014
2205	2205	Solidudhkunda Municipality	सोलुदुधकुण्ड नगरपालीका	2016
2183	2183	Sahidbhumi Rural Municipality	सहिदभूमि गाउँपालिका	2013
2202	2202	Ramprasad Darai Rural Municipality	रामप्रसादराई गाउँपालिका	2014
2176	2176	Myanglung Municipality	म्याङलुङ नगरपालीका	2012
2189	2189	Menchhayem Rural Municipality	मेन्छयायेम गाउँपालिका	2012
2191	2191	Bhojpur Municipality	भोजपुर नगरपालीका	2014
2159	2159	Koshi Rural Municipality	कोशी गाउँपालिका	2021
2207	2207	Pauwadunma Rural Municipaltiy	पौबादुङमा गाउँपालिका	2014
2210	2210	Nechsalyan Rural Municipality	नेचसल्यान गाउँपालिका	2016
2213	2213	Mahakulung Rural Municipality	महाकुलुङ गाउँपालिका	2016
2215	2215	Setang Rural Municipality	सेताङ गाउँपालिका	2016
2217	2217	Halesitribachang Municipality	हलेसीतृवाचङ नगरपालीका	2015
2222	2222	Chisakhugadhi Rural Municipaltiy	चिशंखुगढी गाउँपालिका	2017
2225	2225	Jantedhunga Rural Municipality	जन्तेढुङगा गाउँपालिका	2015
2226	2226	Khothang Rural Municipality	खोटेहाङ गाउँपालिका	2015
2227	2227	Kopilasgadhi Rural Municipaltiy	कोपिलासगढी गाउँपालिका	2015
2247	2247	Sakela Rural Municipaltiy	साकेला गाउँपालिका	2015
